starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:02:38 2021	1636707758	0	34	34	33
Fri Nov 12 17:02:38 2021	1636707758	0	35	35	35
Fri Nov 12 17:02:38 2021	1636707758	0	52	52	47
Fri Nov 12 17:02:38 2021	1636707758	0	54	54	53
Fri Nov 12 17:02:41 2021	1636707761	0	55	55	50
Fri Nov 12 17:02:50 2021	1636707770	0	57	57	56
Fri Nov 12 17:02:51 2021	1636707771	0	59	59	59
Fri Nov 12 17:02:38 2021	1636707758	0	62	62	62
Fri Nov 12 17:02:48 2021	1636707768	0	63	63	62
Fri Nov 12 17:02:38 2021	1636707758	0	65	66	63
Fri Nov 12 17:02:50 2021	1636707770	0	66	67	66
Fri Nov 12 17:02:48 2021	1636707768	0	67	67	66
Fri Nov 12 17:02:56 2021	1636707776	0	69	69	69
Fri Nov 12 17:02:38 2021	1636707758	0	70	70	70
Fri Nov 12 17:02:39 2021	1636707759	0	74	74	71
Fri Nov 12 17:02:49 2021	1636707769	0	77	77	77
Fri Nov 12 17:02:43 2021	1636707763	0	77	77	77
Fri Nov 12 17:02:50 2021	1636707770	0	78	78	76
Fri Nov 12 17:02:56 2021	1636707776	0	78	78	78
Fri Nov 12 17:02:43 2021	1636707763	0	79	79	78
Fri Nov 12 17:02:43 2021	1636707763	0	79	79	78
Fri Nov 12 17:02:41 2021	1636707761	0	80	80	79
Fri Nov 12 17:02:50 2021	1636707770	0	82	82	81
Fri Nov 12 17:02:39 2021	1636707759	0	83	83	81
Fri Nov 12 17:02:43 2021	1636707763	0	86	86	85
Fri Nov 12 17:02:56 2021	1636707776	0	86	86	83
Fri Nov 12 17:02:39 2021	1636707759	0	88	88	87
Fri Nov 12 17:02:39 2021	1636707759	0	88	88	88
Fri Nov 12 17:02:50 2021	1636707770	0	91	91	91
Fri Nov 12 17:02:41 2021	1636707761	0	93	93	93
Fri Nov 12 17:02:38 2021	1636707758	0	94	94	93
Fri Nov 12 17:02:48 2021	1636707768	0	94	94	93
Fri Nov 12 17:02:39 2021	1636707759	0	94	94	93
Fri Nov 12 17:02:46 2021	1636707766	0	95	95	94
Fri Nov 12 17:02:50 2021	1636707770	0	95	95	94
Fri Nov 12 17:02:42 2021	1636707762	0	98	98	98
Fri Nov 12 17:02:36 2021	1636707756	4	95	99	95
Fri Nov 12 17:02:48 2021	1636707768	0	103	103	100
Fri Nov 12 17:02:50 2021	1636707770	0	104	104	103
Fri Nov 12 17:02:55 2021	1636707775	0	104	104	104
Fri Nov 12 17:03:02 2021	1636707782	0	104	104	103
Fri Nov 12 17:02:48 2021	1636707768	0	105	105	104
Fri Nov 12 17:02:38 2021	1636707758	0	105	105	104
Fri Nov 12 17:02:39 2021	1636707759	0	108	108	108
Fri Nov 12 17:02:38 2021	1636707758	0	109	109	97
Fri Nov 12 17:02:41 2021	1636707761	0	109	109	108
Fri Nov 12 17:02:40 2021	1636707760	0	109	109	109
Fri Nov 12 17:02:38 2021	1636707758	0	112	112	112
