starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:01:32 2021	1636707692	0	40	40	39
Fri Nov 12 17:01:32 2021	1636707692	6	39	44	37
Fri Nov 12 17:01:32 2021	1636707692	6	39	44	38
Fri Nov 12 17:01:36 2021	1636707696	0	51	51	50
Fri Nov 12 17:01:44 2021	1636707704	0	51	51	50
Fri Nov 12 17:01:34 2021	1636707694	0	51	51	51
Fri Nov 12 17:01:36 2021	1636707696	0	53	53	52
Fri Nov 12 17:01:47 2021	1636707707	0	59	59	59
Fri Nov 12 17:01:32 2021	1636707692	6	53	59	52
Fri Nov 12 17:01:34 2021	1636707694	0	64	64	64
Fri Nov 12 17:01:33 2021	1636707693	0	65	65	64
Fri Nov 12 17:01:44 2021	1636707704	0	66	66	66
Fri Nov 12 17:01:35 2021	1636707695	0	67	67	66
Fri Nov 12 17:01:47 2021	1636707707	0	70	70	69
Fri Nov 12 17:01:43 2021	1636707703	0	72	72	71
Fri Nov 12 17:01:49 2021	1636707709	0	74	74	74
Fri Nov 12 17:01:33 2021	1636707693	0	74	74	74
Fri Nov 12 17:01:33 2021	1636707693	0	76	76	76
Fri Nov 12 17:01:33 2021	1636707693	0	78	78	77
Fri Nov 12 17:01:34 2021	1636707694	0	79	79	37
Fri Nov 12 17:01:50 2021	1636707710	0	80	80	79
Fri Nov 12 17:01:47 2021	1636707707	0	80	80	48
Fri Nov 12 17:01:49 2021	1636707709	0	81	82	80
Fri Nov 12 17:01:34 2021	1636707694	0	83	83	82
Fri Nov 12 17:01:49 2021	1636707709	0	84	84	83
Fri Nov 12 17:01:43 2021	1636707703	0	85	85	82
Fri Nov 12 17:01:43 2021	1636707703	0	88	88	86
Fri Nov 12 17:01:43 2021	1636707703	0	88	88	88
Fri Nov 12 17:01:47 2021	1636707707	0	88	88	88
Fri Nov 12 17:01:43 2021	1636707703	0	89	89	88
Fri Nov 12 17:01:33 2021	1636707693	0	91	91	90
Fri Nov 12 17:01:49 2021	1636707709	0	91	91	91
Fri Nov 12 17:01:43 2021	1636707703	0	92	92	91
Fri Nov 12 17:01:47 2021	1636707707	0	93	93	48
Fri Nov 12 17:01:49 2021	1636707709	0	94	94	92
Fri Nov 12 17:01:51 2021	1636707711	0	95	95	95
